Time,Cindy,Carmen,Marta,Marina,Kelly,Windy,f0,video_names,f
41.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2220,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2250,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2280,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2310,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2340,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2370,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2400,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2430,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
41.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2460,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2490,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2520,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2550,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2580,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2610,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2640,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2670,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2700,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2730,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2760,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2790,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2820,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2850,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2880,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2910,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2940,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,2970,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3000,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3030,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3060,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3090,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3120,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3150,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3180,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
42.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3210,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3240,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3270,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3300,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3330,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3360,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3390,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3420,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3450,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3480,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3510,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3540,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3570,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3600,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3630,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3660,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3690,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3720,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3750,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3780,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3810,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3840,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3870,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3900,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3930,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
43.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3960,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,3990,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4020,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4050,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4080,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4110,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4140,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4170,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4200,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4230,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4260,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4290,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4320,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4350,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4380,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4410,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4440,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4470,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4500,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4530,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4560,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4590,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4620,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4650,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4680,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
44.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4710,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4740,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4770,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4800,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4830,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4860,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4890,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4920,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4950,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,4980,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5010,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5040,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5070,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5100,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5130,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5160,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5190,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5220,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5250,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5280,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5310,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5340,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5370,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5400,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5430,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
45.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5460,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5490,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5520,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5550,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5580,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5610,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5640,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5670,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5700,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5730,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5760,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5790,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5820,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5850,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5880,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5910,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5940,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.64 sec,170-306-180-114,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,5970,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.68 sec,171-306-180-114,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6000,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.72 sec,171-306-179-114,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6030,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.76 sec,172-307-179-113,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6060,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.8 sec,173-307-179-113,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6090,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.84 sec,173-307-178-113,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6120,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.88 sec,174-308-178-112,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6150,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.92 sec,174-308-177-112,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6180,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
46.96 sec,175-308-177-112,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6210,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47 sec,176-308-177-112,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6240,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.04 sec,176-309-176-111,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6270,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.08 sec,177-309-176-111,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6300,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.12 sec,177-309-175-111,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6330,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.16 sec,178-310-175-110,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6360,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.2 sec,179-310-175-110,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6390,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.24 sec,179-310-174-110,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6420,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.28 sec,180-311-174-109,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6450,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.32 sec,180-311-173-109,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6480,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.36 sec,181-311-173-109,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6510,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.4 sec,182-311-173-109,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6540,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.44 sec,182-312-172-108,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6570,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.48 sec,183-312-172-108,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6600,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.52 sec,183-312-171-108,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6630,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.56 sec,184-313-171-107,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6660,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.6 sec,185-313-171-107,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6690,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.64 sec,185-313-170-107,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6720,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.68 sec,186-313-170-107,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6750,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.72 sec,187-314-170-106,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6780,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.76 sec,187-314-169-106,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6810,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.8 sec,188-314-169-106,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6840,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.84 sec,188-315-168-105,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6870,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.88 sec,189-315-168-105,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6900,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
47.92 sec,190-315-168-105,216-229-138-82,577-335-183-137,561-236-122-86,362-200-123-57,,6930,G-C1L1P-Mar30-C-Kelly_q2_02-06_30fps.mp4,30
